local_id,change,old,new
100000116,epigraph_changed,852001|10|1002|Abierto,562902|10|1002|Abierto
100000160,epigraph_changed,853003|10|1003|Abierto,562902|10|1003|Abierto
100000408,epigraph_changed,562902|10|1004|Abierto,851001|10|1004|Abierto
100000878,epigraph_changed,561006|10|1007|Abierto,561005|10|1007|Abierto
100000907,epigraph_changed,561002|10|1002|Abierto,561006|10|1002|Abierto
100000921,epigraph_changed,472402|10|1007|Abierto,472501|10|1007|Abierto
100000943,epigraph_changed,472401|10|1004|Abierto,472102|10|1004|Abierto
100000946,epigraph_changed,471902|10|1007|Abierto,472911|10|1007|Abierto
100000961,epigraph_changed,881001|10|1007|Abierto,562903|10|1007|Abierto
100000992,epigraph_changed,853001|10|1003|Abierto,562902|10|1003|Abierto
100001019,epigraph_changed,472911|10|1001|Abierto,472102|10|1001|Abierto
100001060,epigraph_changed,472401|10|1004|Abierto,472911|10|1004|Abierto
100001070,epigraph_changed,855002|10|1001|Baja Reunificación,931003|10|1001|Baja Reunificación
100001378,epigraph_changed,960206|10|1007|Abierto,960201|10|1007|Abierto
100001586,epigraph_changed,472201|10|1002|Abierto,471902|10|1002|Abierto
100001623,epigraph_changed,471104|10|1002|Abierto,477801|10|1002|Abierto
100001681,epigraph_changed,452001|10|1001|Cerrado,452002|10|1001|Cerrado
100001714,epigraph_changed,477603|10|1004|Abierto,477602|10|1004|Abierto
100001739,epigraph_changed,475401|10|1007|Abierto,475903|10|1007|Abierto
100001744,epigraph_changed,472911|10|1004|Abierto,949101|10|1004|Abierto
10000387,epigraph_changed,561001|01|106|Abierto,561002|01|106|Abierto
10000398,epigraph_changed,852001|01|104|Abierto,562902|01|104|Abierto
10000422,epigraph_changed,562902|01|101|Abierto,852001|01|101|Abierto
10000441,epigraph_changed,750002|01|102|Abierto,477602|01|102|Abierto
10000468,epigraph_changed,870001|01|105|Abierto,562903|01|105|Abierto
10000743,epigraph_changed,851001|01|102|Abierto,562902|01|102|Abierto
10000744,epigraph_changed,851001|01|102|Abierto,562902|01|102|Abierto
10000877,epigraph_changed,477602|01|102|Abierto,477603|01|102|Abierto
10000960,epigraph_changed,561005|01|106|Abierto,561006|01|106|Abierto
10001147,epigraph_changed,900003|01|103|Abierto,350001|01|103|Abierto
10001234,epigraph_changed,562903|01|105|Abierto,881001|01|105|Abierto
10001414,epigraph_changed,889002|01|105|Abierto,562904|01|105|Abierto
10001496,epigraph_changed,477101|01|102|Abierto,472911|01|102|Abierto
10001510,epigraph_changed,960401|01|103|Abierto,562101|01|103|Abierto
10001531,epigraph_changed,561006|01|101|Abierto,561005|01|101|Abierto
